feature,origin,semantic_group,type,transform_encoding,keep_glm,keep_tree,keep_nn,decision_type,reason_eda,zero_as_missing,is_sparse_zero,is_momentum,apply_log,apply_winsor,target_encode
CustomerID,Original,id_target,Identifier (ID),–,N,N,N,Drop,Unique identifier with no predictive value (theoretically no relation to churn).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Churn,Original,id_target,Binary target,Encoded to 0/1 (Churn01),–,–,–,Descriptive only,Target variable (outcome) – not used as a feature in modeling.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MonthlyRevenue,Original,billing_economics,Numeric (continuous),No transform (highly skewed) – consider log or use alternative features,N,Y (optional),N,Replace,Non-monotonic churn relationship; highly correlated with usage and plan charges. Replaced by RevenuePerMinute for price-sensitivity and by usage metrics.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
MonthlyMinutes,Original,usage_activity,Numeric (continuous),No transform (consider log for GLM if heavy-tailed),Y,Y,Y,Keep,Key usage volume indicator. Churners showed slightly lower average minutes than non-churners. Captures engagement level; included despite correlation with call counts (distinct from revenue per minute).,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
TotalRecurringCharge,Original,billing_economics,Numeric (continuous),–,N,N,N,Drop,Largely redundant with MonthlyRevenue (plan fee component). Adds little new information (Spearman ρ≈0.76 with revenue). Removing to avoid multicollinearity.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DirectorAssistedCalls,Original,usage_activity,Numeric (continuous),–,N,N,N,Drop,Very low usage frequency and no notable churn pattern identified (not highlighted in EDA; likely negligible effect). Considered zero-inflated feature with minimal variance – dropped due to insufficient evidence of impact.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OverageMinutes,Original,billing_economics,Numeric (continuous),–,Y (flag or transform),Y,Y,Keep,Indicates bill shock (minutes beyond plan). Many zeros but some high values. Conceptually a churn driver (cost overrun); include with possible 0/1 flag for any overage. Insufficient clear EDA evidence – recommend further analysis (e.g. churn vs no-overage rates).,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
RoamingCalls,Original,usage_activity,Numeric (continuous),–,N,N,N,Drop,Very low occurrence; not identified as important. No significant churn difference observed (likely trivial usage event). Dropped for parsimony (insufficient evidence of effect).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PercChangeMinutes,Original,billing_economics,Numeric (momentum),– (value can be negative/positive),Y (perhaps binned),Y,Y,Keep,"Rate of usage change – potential churn predictor (e.g. sharp drop in minutes might precede churn). Not confirmed in current EDA (no clear trend plotted), but theoretically important. Insufficient evidence; recommend further EDA (e.g. trend vs churn risk) before final modeling.",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
PercChangeRevenues,Original,billing_economics,Numeric (momentum),– (negative/positive),Y (perhaps binned),Y,Y,Keep,"Rate of revenue change – analogous to usage change. Could signal customers reducing spend before churning. Kept for now due to potential value, but EDA did not conclusively show its effect (would benefit from 2D risk plot analysis).",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
DroppedCalls,Original,quality_experience,Numeric (count),–,N,N,N,Replace,Represents call quality issues. Replaced by DroppedBlockedCalls (combined metric) and by DroppedQuality_flag. Highly correlated with DroppedBlockedCalls (ρ=0.88). We use the aggregate measure to avoid double-counting.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BlockedCalls,Original,quality_experience,Numeric (count),–,N,N,N,Replace,Same as above – merged into DroppedBlockedCalls. Individual blocked call counts add no extra insight beyond the combined metric (DroppedBlockedCalls has ρ≈0.88 with DroppedCalls).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
UnansweredCalls,Original,quality_experience,Numeric (count),–,N,N,N,Drop,"Calls not answered by the customer. Widespread (91% have ≥1), mostly reflecting high usage rather than dissatisfaction. No clear churn signal isolated (incorporated in quality flag but as standalone adds noise). Dropped for model simplicity.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CustomerCareCalls,Original,support_retention,Numeric (count),–,N,N,N,Replace,"Number of support calls. Strong churn indicator, but modeled as CustomerCareCalls_flag (any vs none) to capture complaint presence. Replacing numeric count (small values) with binary flag since having ≥1 call (29% churn vs 23% for none, per EDA bar height【42†】) is the key signal.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ThreewayCalls,Original,usage_activity,Numeric (count),–,N,N,N,Drop,Rare feature (conference calls) with no observed churn impact. Not highlighted in any analysis – likely irrelevant. Dropped to reduce features (insufficient evidence of any effect).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ReceivedCalls,Original,usage_activity,Numeric (count),–,N,N,N,Drop,Highly correlated with OutboundCalls (ρ≈0.82) and total minutes. Provides no unique insight (heavy callers both make and receive many calls). Dropped to avoid redundancy.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OutboundCalls,Original,usage_activity,Numeric (count),–,Y,Y,Y,Keep,"Outgoing call count. Correlated with usage, but retained to capture calling behavior. Heavy callers tend to churn slightly less (non-churn had higher outbound call counts on average). Captures user engagement style (active vs passive).",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
InboundCalls,Original,usage_activity,Numeric (count),–,N,N,N,Drop,Redundant with ReceivedCalls (both measure inbound calling; ρ≈0.75). No added predictive value beyond other usage metrics. Dropped for collinearity reduction.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PeakCallsInOut,Original,usage_activity,Numeric (count),–,N,N,N,Drop,"Peak-time call count (in+out). Strongly correlated with OffPeakCallsInOut (ρ≈0.83) and with total usage. Time-of-day usage pattern did not show unique churn discrimination in EDA (not singled out), so it’s dropped to simplify the model.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OffPeakCallsInOut,Original,usage_activity,Numeric (count),–,N,N,N,Drop,"Off-peak call count. Redundant with PeakCallsInOut and MonthlyMinutes (ρ≥0.79 with both). No distinct churn pattern observed by itself, so removed as a separate feature.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DroppedBlockedCalls,Original,quality_experience,Numeric (count),–,Y,Y,Y,Keep,"Combined dropped+blocked calls (network issues). Churners experienced slightly fewer such events on average (8.58 vs 10.17) due to lower usage, but presence of any issues is still a churn factor. Retained as a consolidated quality metric (with possible non-linear treatment).",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
CallForwardingCalls,Original,quality_experience,Numeric (count),–,N,N,N,Drop,Very low incidence feature (call forwarding uses). No evidence of influence on churn (not present in top factors). Dropped as likely noise.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CallWaitingCalls,Original,quality_experience,Numeric (count),–,N,N,N,Drop,Low incidence. Mild correlation with overall calls (peak-time load) but churn correlation essentially zero (ρ≈-0.038). Removed for irrelevance.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MonthsInService,Original,account_tenure,Numeric (integer),"Possibly binned (0–6,6–12,12–24,24+ months) for GLM",Y,Y,Y,Keep,"Tenure with the company. Churners had slightly shorter tenure on average (17.9 vs 18.8 months), and new customers (≤6 months) show highest churn rates. Core predictor of “tenure decay” effect (early-life churn risk). Retained with possible non-linear encoding (bucket or spline).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UniqueSubs,Original,account_tenure,Numeric (count),–,N,N,N,Drop,Total subscribers on the account. Highly correlated with ActiveSubs (multi-line accounts) and with Handsets. We prefer ActiveSubs and InactiveSubs to capture account composition. UniqueSubs adds no extra information when those are included (linear dependency: Unique = Active + Inactive).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ActiveSubs,Original,account_tenure,Numeric (count),–,Y,Y,Y,Keep,"Number of active subscribers on the account (family plan size). Multi-line accounts tend to churn less (e.g. churn rate was lower for accounts with >1 active line, anecdotal from EDA). Included to capture the stabilizing effect of family plans.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ServiceArea,Original,geo_segmentation,Nominal (747 categories),– (very high-cardinality),N,N,N,Drop,"Too many sparse categories to model reliably (each area code). Instead, we derive HighRiskServiceArea_flag to capture any location-based risk. Keeping this raw feature would overfit and complicate GLM/NN encoding. Dropped in favor of engineered grouping.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Handsets,Original,account_tenure,Numeric (count),–,N,N,N,Drop,Number of handsets issued historically. Correlated with tenure and number of lines; weak negative correlation with churn (ρ≈ -0.036) indicating minimal added predictive power. Dropped (effect subsumed by tenure and ActiveSubs).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HandsetModels,Original,account_tenure,Numeric (count),–,N,N,N,Drop,Number of distinct handset models used. Redundant with Handsets (very high collinearity ρ=0.91). No unique contribution beyond total handsets count – dropped to avoid multicollinearity.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CurrentEquipmentDays,Original,account_tenure,Numeric (continuous),– (can cap extreme or use flag),Y,Y,Y,Keep,Days since current device was acquired (device age). Long device tenure often correlates with being out-of-contract and churn risk (device obsolescence). In combination with long service tenure it defines UpgradeOverdue flag (over 500 days on device and ≥24 months service). Retained to allow models to capture any continuous effect or alternate thresholds beyond the flag.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AgeHH1,Original,demographics_household,Numeric (continuous),Treat 0 as missing (Unknown); consider binning by age group,Y,Y,Y,Keep,"Age of primary household member. Older customers are generally more stable (anecdotally churn less), whereas very young or unknown age could signal higher churn. Retained to capture any demographic effect, although EDA evidence was limited (needed for stratified analysis – insufficient in current charts). Missing values are encoded as “Unknown” (0).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AgeHH2,Original,demographics_household,Numeric (continuous),Treat 0 as missing (Unknown),N,N,N,Drop,Age of second household member. Largely redundant with AgeHH1 and family size variables. Many entries missing (single-member households). No clear independent effect observed – dropped to reduce multicollinearity and sparsity.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ChildrenInHH,Original,demographics_household,Binary (Y/N),–,N,N,N,Drop,Presence of children. Not highlighted in EDA; any churn difference appears negligible. Likely correlated with being a family plan (already captured by ActiveSubs). Dropped due to insufficient evidence of additional predictive value.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HandsetRefurbished,Original,device_flags,Binary (Y/N),–,Y,Y,Y,Keep,"Indicates if handset is refurbished. Customers on refurbished devices showed higher churn in combination with being overdue for upgrade. Captures cost-sensitive or lower-tier customer segment. Retained especially for interaction with UpgradeOverdue (those with old, refurbished phones have particularly high churn risk).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HandsetWebCapable,Original,device_flags,Binary (Y/N),–,Y,Y,Y,Keep,Indicates if handset is web-capable (smartphone). Strong churn predictor: customers without a smartphone churn at a higher rate (the bar for “No” is mostly churn ~32% vs ~25% for “Yes” web-capable). Likely reflects tech-savvy customers (with smartphones) being more engaged and less likely to churn.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TruckOwner,Original,demographics_household,Binary (Y/N),–,N,N,N,Drop,Niche demographic indicator (truck ownership). No measurable correlation with churn (Cramér’s V ≈ 0.00). Dropped as it provides no predictive signal.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RVOwner,Original,demographics_household,Binary (Y/N),–,N,N,N,Drop,RV (recreational vehicle) ownership. Also essentially uncorrelated with churn (Cramér’s V ≈ 0.00). Dropped for the same reason as TruckOwner – no value added.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Homeownership,Original,demographics_household,Binary (Own/Unknown),–,Y,Y,Y,Keep,Home ownership status. Those with unknown homeownership status showed a slightly higher churn rate than known homeowners (visual gap in churn bars)【42†】. Implies stability – homeowners may be more stable customers. Retained as a demographic stability indicator (with “Unknown” treated as a separate category if needed).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BuysViaMailOrder,Original,demographics_household,Binary (Y/N),–,N,N,N,Drop,Mail-order buyer indicator. Very low churn correlation (Cramér’s V ~0.01 or below – not in top predictors). Dropped due to negligible informational gain.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RespondsToMailOffers,Original,demographics_household,Binary (Y/N),–,N,N,N,Drop,Responds to mail marketing. Negligible predictive power (Cramér’s V ~0.02). No significant churn difference observed in EDA – dropped.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OptOutMailings,Original,demographics_household,Binary (Y/N),–,N,N,N,Drop,Opt-out of marketing mail. Not a churn driver (no evident effect; likely uncorrelated). Dropped to reduce feature count (unsupported by EDA – not among significant features).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NonUSTravel,Original,demographics_household,Binary (Y/N),–,Y,Y,Y,Keep,Travel outside US indicator. Shows a slight churn lift for travelers (those who traveled internationally had somewhat higher churn than non-travelers)【42†】. Retained as it may proxy customer lifestyle or roaming cost issues (despite a modest effect).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OwnsComputer,Original,demographics_household,Binary (Y/N),–,N,N,N,Drop,Computer ownership. Ubiquitous and not discriminatory in this dataset – churn rates did not differ (not flagged in EDA; likely nearly all have computers). Dropped as it does not segment risk.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HasCreditCard,Original,demographics_household,Binary (Y/N),–,Y,Y,Y,Keep,Credit card ownership. Clear churn difference: customers without a credit card had much higher churn (~35% vs ~25% with card). Indicates financial stability – those lacking credit may be higher churn risks. Retained as a strong demographic predictor.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RetentionCalls,Original,support_retention,Numeric (count),–,N,N,N,Drop,Leaky – number of prior retention team calls. Essentially a post-hoc indicator of attempted churn. Customers with >0 retention calls had dramatically higher churn likelihood (this variable signals churn already in progress). Excluded from predictive models to prevent data leakage.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RetentionOffersAccepted,Original,support_retention,Numeric (count),–,N,N,N,Drop,"Leaky – number of prior retention offers accepted. Directly related to past churn interventions (only exists if churn was imminent). Though customers accepting offers might temporarily stay, the presence of any retention offer is a churn flag. Excluded to avoid leakage (churn rate for those with ≥1 offer is far above baseline).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NewCellphoneUser,Original,demographics_household,Binary (Yes),–,Y,Y,Y,Keep,"Indicates a first-time cellphone user. Surprisingly, churn is lower among true new users versus experienced users (churn ~23% for new vs ~32% for others as per flags)【42†】. Likely older or late adopters are more loyal. We keep this (merging with NotNew flag) to capture that effect.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NotNewCellphoneUser,Original,demographics_household,Binary (No),–,N,N,N,Drop,Redundant complement to NewCellphoneUser. We use the single flag NewCellphoneUser (with 0 effectively representing non-new or unknown). NotNewCellphoneUser had very low standalone correlation (≈0.01) and is dropped to avoid perfect collinearity.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ReferralsMadeBySubscriber,Original,account_tenure,Numeric (count),–,Y,Y,Y,Keep,"Number of referrals made. Low overall incidence but conceptually indicates engagement/satisfaction. While not a top predictor, those who referred others are likely less prone to churn (strong loyalty signal). Retained for its potential lift (though further EDA needed; sample of referral-makers may be small – consider a flag for ≥1 referral).",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IncomeGroup,Original,demographics_household,"Ordinal (1–9, 0=missing)",– (Zero treated as missing),N,N,N,Replace,Encoded income bracket. Many missing (0). Replaced by IncomeBand (Low/Mid/High/Unknown) to simplify the nonlinear effect of income. The raw numeric is not used directly due to unclear spacing and missing=0 issues.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
OwnsMotorcycle,Original,demographics_household,Binary (Y/N),–,N,N,N,Drop,Motorcycle ownership. Very weak churn correlation (Cramér’s V ≈ 0.01). Provides no meaningful segmentation – dropped as an uninformative feature.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AdjustmentsToCreditRating,Original,demographics_household,Numeric (count),–,Y,Y,Y,Keep,"Number of credit score adjustments. Could flag financial distress (e.g. downgrades) that precede churn. Sparse feature but retained tentatively for its plausible significance. Insufficient direct EDA evidence (not highlighted), but logically a negative credit event could correlate with non-payment churn – recommend focused analysis.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HandsetPrice,Original,billing_economics,"Ordinal (15 levels, 0=Unknown)",– (0 treated as Unknown; then binned),N,N,N,Replace,"Handset price tier. >56% missing (coded 0)[26]. We replace it with HandsetPrice_q – binned into Low/Mid/High plus Unknown. The binned version captures device value segments and separates missing values, which have a different churn profile (churners tended to have slightly cheaper phones on average).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MadeCallToRetentionTeam,Original,support_retention,Binary (Y/N),–,N,N,N,Drop,Leaky – whether the customer called retention in the current period. This is essentially a direct precursor to churn (customers about to cancel). Including it would leak outcome information into the model. Dropped from all predictive modeling (though tracked for descriptive purposes).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CreditRating,Original,demographics_household,Ordinal (1–7 scale),Converted to numeric score (1=best),Y,Y,Y,Keep,"Credit score category. Lower credit (higher numeric value) may indicate payment risk and instability. Churn correlation is modest (not top-tier, ρ~0.05), but it adds a financial trustworthiness dimension. Retained for potential predictive value (e.g. customers with poor credit might churn if service is cut or to avoid deposits).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PrizmCode,Original,geo_segmentation,Nominal (4 categories),– (one-hot encode for GLM/NN),Y,Y,Y,Keep,"Socio-geographic segment (Suburban/Town/Rural/Other). Shows some churn variation: certain segments (e.g. perhaps “Town” or “Rural”) had higher churn in top-N analysis. Retained to capture regional socioeconomic differences, since it’s low cardinality and easy to include.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Occupation,Original,demographics_household,Nominal (8 categories),– (one-hot encode for GLM/NN),Y,Y,Y,Keep,"Occupation category. Different professions exhibited different churn rates (EDA top-churn categories analysis). For example, students or self-employed might churn more than professionals. Retained as a meaningful demographic indicator.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MaritalStatus,Original,demographics_household,Nominal (3 categories: Yes/No/Unknown),– (one-hot encode),N,N,N,Drop,Marital status (married or not). EDA showed minimal difference in churn between married vs unmarried (both around the overall ~29% rate)【42†】. The small variations do not justify additional model complexity. Dropped due to insufficient separation in churn risk.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Churn01 (target),Engineered,id_target,Binary target (0/1),Converted from Churn (Yes/No),–,–,–,– (target),Binary encoded churn outcome used for modeling. (Not a feature; listed for completeness).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
InactiveSubs = Unique–Active,Engineered,account_tenure,Numeric (count),Derived (clipped ≥0),Y,Y,Y,Add (Keep),"Number of inactive subscribers on the account (lines that have been deactivated). Higher values may indicate an account already scaling down (churn-in-progress). EDA decile analysis suggested accounts with more previously dropped lines have elevated churn, especially in certain income bands. Kept as it captures an early warning of churn within family plans.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RevenuePerMinute = MonthlyRevenue / (MonthlyMinutes+1),Engineered,billing_economics,Numeric (ratio),Computed ratio (added 1 to avoid ÷0),Y,Y,Y,Add (Keep),Average revenue per minute of use – a proxy for cost of usage (high values imply overage charges or inefficiency). Exhibits a strong monotonic churn pattern: customers paying much more per minute (likely incurring overages) churn at higher rates. Retained to capture price sensitivity; outperforms raw revenue in indicating bill shock risk.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
MOU_perActive = MonthlyMinutes / (ActiveSubs+1),Engineered,usage_activity,Numeric (ratio),Computed ratio (per active line),Y,Y,Y,Add (Keep),"Minutes of use per active subscriber – gauges individual usage in family plans. Highlights under-utilized lines: very low MOU per line could indicate a redundant line likely to be dropped. Retained to help identify at-risk lines on multi-sim accounts (though not directly visualized in EDA, it’s conceptually useful; NA filled as 0 for accounts with no usage).",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
IncomeBand (Low/Mid/High/Unknown),Engineered,demographics_household,Categorical (4 levels),"Binned from IncomeGroup (1–3 Low, 4–6 Mid, 7–9 High, 0 Unknown)",Y,Y,Y,Add (Keep),Simplified income bracket. Shows a clear rank ordering: churn rates highest for Unknown (missing income) and lowest for High income in EDA. Encodes socio-economic status non-linearly. Replaces raw IncomeGroup for stability and ease of interpretation.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HandsetPrice_q (Low/Mid/High/Unknown),Engineered,billing_economics,Categorical (4 levels),"Binned from HandsetPrice (terciles of non-0 values, 0->Unknown)",Y,Y,Y,Add (Keep),"Price category of handset. In EDA, churn was highest for “Unknown” price (missing/zero) and differed across price tiers. Lower-priced device users churn slightly more on average (less investment). This feature captures device value effect and covers the large missing population via “Unknown” category.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UpgradeOverdue (Yes/No),Engineered,contract/lifecycle,Binary flag,From MonthsInService ≥24 AND CurrentEquipmentDays ≥500,Y,Y,Y,Add (Keep),Indicates customers likely beyond contract and using an old device (overdue for upgrade). A strong interaction: churn is significantly higher for those who are long-tenured and on old equipment (observed uplift when combined with handset features). Retained to capture this 2D risk which neither tenure nor device age alone fully represent. (Original MonthsInService and CurrentEquipmentDays are also kept for baseline effects.),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HighRiskServiceArea_flag (Yes/No),Engineered,geo_segmentation,Binary flag,Mark ServiceAreas with highest churn rates (top X areas),Y,Y,Y,Add (Keep),Flags if a subscriber belongs to a location with significantly above-average churn. EDA “head/tail” analysis identified certain ServiceArea codes with churn far exceeding the norm. This condenses the geographic risk without using 747 dummies. Retained in place of raw ServiceArea to capture regional network/competition issues.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CustomerCareCalls_flag (Yes/No),Engineered,support_retention,Binary flag,"1 if CustomerCareCalls > 0, else 0",Y,Y,Y,Add (Keep),"Overall, customers who have at least one customer-care call show higher churn than those with no calls, indicating that the flag capturesfA5 customers who experienced some problem. However, the A5 head/tail × care-calls heatmap shows that within each ServiceArea risk group churn is slightly lower for customers who contacted care, while the absolute level remains much higher in top-5 high-churn regions. This suggests that geography is the dominant driver and care calls may be partly protective once regional risk is controlled for.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DroppedQuality_flag (Yes/No),Engineered,quality_experience,Binary flag,"1 if any Dropped/Blocked/UnansweredCalls > 0, else 0",Y,Y,Y,Add (Keep),"Indicates if the customer experienced any call quality issues in the period. Almost all customers had at least one issue (91% “Yes”), so the opposite (“No issue”) minority had a somewhat lower churn. Retained mainly to enable interaction with HighUsage_flag (see below), as its standalone predictive power is limited by the small “No issue” group.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HighUsage_flag (Yes/No),Engineered,usage_activity,Binary flag,"1 if MonthlyMinutes in top 25% (≥723 min), else 0",Y,Y,Y,Add (Keep),"Flags heavy usage customers. On its own, high usage does not drastically change churn (in isolation, heavy users can be loyal). However, in combination with quality issues it’s powerful: EDA heatmap showed customers who are high usage and had call issues churn at a much higher rate than others (nearly 40+% vs <30%). Kept to enable that interaction effect (and as a general control for usage level).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RetentionCalls_flag (Yes/No),Engineered,support_retention,Binary flag,"1 if RetentionCalls > 0, else 0",N,N,N,(Drop – leakage),Whether the customer ever made a retention call prior to churn. Enormously predictive but not usable (leakage): virtually a post-churn behavior marker. Churn rate among those with a retention call is significantly above baseline (indicative that they already attempted to cancel). Excluded from models.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RetentionOffersAccepted_flag (Yes/No),Engineered,support_retention,Binary flag,1 if RetentionOffersAccepted > 0,N,N,N,(Drop – leakage),Whether any retention offer was accepted. Also a leakage indicator – implies a prior save attempt. Churners with a past accepted offer still have elevated churn later. Not used in modeling (only for understanding retention efficacy).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MadeCallToRetentionTeam_flag (Yes/No),Engineered,support_retention,Binary flag,Duplicates original (Yes/No),N,N,N,(Drop – leakage),"Flag for calling the retention team in the current period. This is directly tied to imminent churn (if 1, churn probability is extremely high, essentially an outcome). Left out of all predictive models to prevent leakage.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ServiceArea head/tail × CustomerCareCalls（interaction）,Engineered,,,,,,,Drop,"Built only for EDA as a 3×2 cross of ServiceArea_headtail and CustomerCareCalls_flag. The A5 heatmap shows that churn is highest in top-5 high-churn areas regardless of contact, and that within each group customers who contacted care churn slightly less. Because the heterogeneous effect is modest and largely captured by the main effects, we do not include this interaction as a core modeling feature; it remains an optional extension for future work.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DroppedQuality × HighUsage (interaction),Engineered,quality × usage,Binary interaction,1 if DroppedQuality_flag = 1 and HighUsage_flag = 1; 0 otherwise,Y,N (implicit via splits),Y,Optional (GLM/NN; not used in tree),"Engineered as an indicator for heavy users who also experienced any quality issue. The A5 DroppedQuality × HighUsage heatmap shows that this group does **not** have the highest churn; if anything, their churn rate is slightly lower than that of normal/low-usage customers with no recorded issues. Thus, this interaction does not capture a “super-risky” synergy, but it may help GLM and NN model a potential **negative** interaction (engaged but complaining customers may be more likely to stay than silent low-usage customers). For tree-based models, this interaction is left implicit, as trees can learn it directly from DroppedQuality_flag and HighUsage_flag. |",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SilentChurn_flag,Engineered (proposed),Service quality × Usage,Binary,Derived flag: 1 if HighUsage_flag = 0 and DroppedQuality_flag = 0; 0 otherwise | Y | Y | Y | Add (new feature),N,N,N,"Drop (exploratory only, not used)","Initially proposed to capture “silent churners” with low usage and no recorded quality issues. However, when applied to the cleaned modelling data, this definition produced a degenerate feature with no observations coded as 1 (all customers fall into the 0 category). Because the flag has no variation and adds no predictive signal beyond HighUsage_flag and DroppedQuality_flag, it is documented as an exploratory attempt but excluded from all predictive models. |",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
